model,task_id,regime,repeat_index,split_seed,temperature,ok,raw_final_hidden_test_metric,main_hidden_test_metric,final_hidden_test_metric,final_reward,selected_validation_metric,protocol_valid,hidden_test_protocol_valid,finalized_after_token_budget_exhaustion,agent_protocol_violation_count,terminal_selection_policy,terminal_path,llm_calls,working_llm_calls,selection_llm_calls,total_input_tokens,total_output_tokens,total_tokens,execution_failure_count,critical_category,forbidden_action_attempt_count,forbidden_action_attempted,forbidden_actions_attempted,n_model_actions,n_validated_candidates,n_distinct_model_families,model_family_sequence,selected_candidate_family,candidate_diversity_score,stopped_early,stop_after_n_candidates,early_stop_redirect_count,early_stop_redirected,candidate_first_redirect_count,candidate_first_redirected,masked_ablation_redirect_count,masked_ablation_redirected,final_reward_performance_contribution,slope_reward_performance_contribution,final_reward_plan_contribution,slope_reward_plan_contribution,final_reward_code_quality_contribution,slope_reward_code_quality_contribution,final_reward_weighted,slope_reward_weighted,slope_reward,val_first,val_last,val_min,val_max,val_delta,n_validations,task_normalized_hidden_test_metric,raw_task_normalized_hidden_test_metric,task_normalized_validation_metric
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,single_shot,1,42,0.7,True,-0.5442293496960333,-0.5442293496960333,-0.5442293496960333,0.7710338827838827,-0.5124755864384359,True,True,False,0,only_generated_candidate,agent_final_submit,1,1,0,954,694,1648,0,none,0,False,,2,2,1,LinearModel;LinearModel,LinearModel,0.55,False,,0,False,0,False,0,False,0.55,,0.15,,0.28316483516483515,,0.9831648351648352,,,-0.5124755864384359,-0.5124755864384359,-0.5124755864384359,-0.5124755864384359,0.0,2,0.061945284207375315,0.061945284207375315,0.0
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,single_shot,0,67,0.7,True,-0.4757832630797657,-0.4757832630797657,-0.4757832630797657,0.7710338827838827,-0.5075153873793056,True,True,False,0,only_generated_candidate,agent_final_submit,1,1,0,954,879,1833,0,none,0,False,,2,2,1,LinearModel;LinearModel,LinearModel,0.55,False,,0,False,0,False,0,False,0.55,,0.15,,0.28316483516483515,,0.9831648351648352,,,-0.5075153873793056,-0.5075153873793056,-0.5075153873793056,-0.5075153873793056,0.0,2,0.7071773107035524,0.7071773107035524,0.07781811213020892
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,single_shot,1,67,0.7,True,-0.4757832630797657,-0.4757832630797657,-0.4757832630797657,0.7710338827838827,-0.5075153873793056,True,True,False,0,only_generated_candidate,agent_final_submit,1,1,0,954,944,1898,0,none,0,False,,2,2,1,LinearModel;LinearModel,LinearModel,0.55,False,,0,False,0,False,0,False,0.55,,0.15,,0.28316483516483515,,0.9831648351648352,,,-0.5075153873793056,-0.5075153873793056,-0.5075153873793056,-0.5075153873793056,0.0,2,0.7071773107035524,0.7071773107035524,0.07781811213020892
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,single_shot,0,42,0.7,True,-0.5507019939021407,-0.5507019939021407,-0.5507019939021407,0.7710338827838827,-0.5055924721031454,True,True,False,0,only_generated_candidate,agent_final_submit,1,1,0,954,1257,2211,0,none,0,False,,2,2,1,LinearModel;LinearModel,LinearModel,0.55,False,,0,False,0,False,0,False,0.55,,0.15,,0.28316483516483515,,0.9831648351648352,,,-0.5055924721031454,-0.5055924721031454,-0.5055924721031454,-0.5055924721031454,0.0,2,0.0009285403092251505,0.0009285403092251505,0.10798577975670919
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,n_restarts_from_scratch,0,67,0.7,True,-0.45297746002366623,-0.45297746002366623,-0.45297746002366623,0.7361822344322344,-0.4487346535971268,True,True,False,0,evaluator_best_validation,agent_final_submit,4,4,0,3941,4840,8781,0,none,0,False,,5,5,1,LinearModel;LinearModel;LinearModel;LinearModel;LinearModel,LinearModel,0.65,True,5.0,0,False,0,False,0,False,0.55,0.0,0.15,0.0,0.2811703296703296,0.001840476190476198,0.9811703296703297,0.0018404761904761812,0.04284047619047619,-0.4487346535971268,-0.4487346535971268,-0.5075153873793056,-0.4487346535971268,0.0,5,0.922164540057618,0.922164540057618,0.9999999999997474
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,n_restarts_from_scratch,1,67,0.7,True,-0.4757832630797657,-0.4757832630797657,-0.4757832630797657,0.7710338827838827,-0.5075153873793056,True,True,False,0,evaluator_best_validation,agent_final_submit,4,4,0,3923,4761,8684,2,none,0,False,,4,3,1,LinearModel;LinearModel;LinearModel,LinearModel,0.65,True,3.0,0,False,0,False,0,False,0.55,0.0,0.15,0.0,0.28316483516483515,-0.0034166666666666677,0.9831648351648352,-0.0034166666666666677,-0.01150238095238095,-0.5075153873793056,-0.5075153873793056,-0.5075153873793056,-0.5075153873793056,0.0,3,0.7071773107035524,0.7071773107035524,0.07781811213020892
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,n_restarts_from_scratch,0,42,0.7,True,-0.5246903087168042,-0.5246903087168042,-0.5246903087168042,0.6507536630036631,-0.46409330067433036,True,True,False,0,evaluator_best_validation,agent_final_submit,4,4,0,3935,6232,10167,1,none,0,False,,4,4,1,LinearModel;LinearModel;LinearModel;LinearModel,LinearModel,0.65,True,4.0,0,False,0,False,0,False,0.55,0.0,0.15,0.0,0.2785989010989011,-0.004728571428571443,0.9785989010989011,-0.004728571428571448,-0.01441000000000002,-0.5090625806525073,-0.46409330067433036,-0.5090625806525073,-0.46409330067433036,0.04496927997817696,4,0.24613718808495177,0.24613718808495177,0.7590457749425628
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,n_restarts_from_scratch,1,42,0.7,True,-0.5246903087168107,-0.5246903087168107,-0.5246903087168107,0.7013305860805861,-0.46409330067433535,True,True,False,0,evaluator_best_validation,agent_final_submit,4,4,0,3941,7155,11096,0,none,0,False,,5,5,2,LinearModel;RandomForest;LinearModel;LinearModel;LinearModel,LinearModel,1.0,True,5.0,0,False,0,False,0,False,0.55,0.0,0.15,0.0,0.27917582417582415,-0.0009809523809523768,0.9791758241758242,-0.0009809523809523712,-0.018123809523809514,-0.5124755864384359,-0.46409330067433535,-30.277889356890842,-0.46409330067433535,0.048382285764100585,5,0.24613718808489107,0.24613718808489107,0.7590457749424844
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,unstructured_agent,1,42,0.7,True,-0.5246903087168031,-0.5246903087168031,-0.5246903087168031,0.7446574074074074,-0.46409330067431714,True,True,False,0,evaluator_best_validation,agent_final_submit,7,7,0,17883,4988,22871,2,none,0,False,,10,6,1,LinearModel;LinearModel;LinearModel;LinearModel;LinearModel;LinearModel,LinearModel,0.65,True,6.0,0,False,0,False,0,False,0.55,0.0,0.15,0.02142857142857143,0.27764550264550264,-0.004832653061224493,0.9776455026455027,0.016595918367346942,0.0008380758017492758,-0.5031601940419855,-0.46409330067431714,-0.5124755864384359,-0.46409330067431714,0.03906689336766839,6,0.24613718808496224,0.24613718808496224,0.75904577494277
deepseek/deepseek-v4-flash,synthetic_regression_known_dgp,n_restarts_call_matched_upper_bound,0,67,0.7,True,-0.4522455860978552,-0.4522455860978552,-0.4522455860978552,0.7710338827838827,-0.4490310277906981,True,True,False,0,evaluator_best_validation,agent_final_submit,8,8,0,8005,8996,17001,0,none,0,False,,9,9,1,LinearModel;LinearModel;LinearModel;LinearModel;LinearModel;LinearModel;LinearModel;LinearModel;LinearModel,LinearModel,0.65,False,,0,False,0,False,0,False,0.55,0.0,0.15,0.0,0.28316483516483515,-0.0019384920634920634,0.9831648351648352,-0.0019384920634920681,-0.009936111111111109,-0.5075153873793056,-0.4490310277906981,-0.5075153873793056,-0.4490310277906981,0.05848435958860748,9,0.9290638168407925,0.9290638168407925,0.9953503317197255
